_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;DIS_BW_UPZ_RCS;LOCATION_ACC;LOCATION_LNG;ORIENTATION_SUP_REC_FBRAC;LOCATION_LAT;RSC01;STATUS;MAX_ESTM_TRAVEL_TIME;LOCATION_ALT;RSC_REF;FINANCIAL_SUP_REC_FBRAC;psu;area;sl_no;rscnr;ID;district;upazila;union;rsc;loan
kamruzzaman;43:52,0;0;43:52,0;0;0;1;43:52,0;43:52,0;6;5;89,51650056;Yes;22,73760439;C;0;30;-28;120232;No;20;1;60;232;120232;Khulna;Batiaghata;Batiaghata;Ishak Vhuia Sanitary;0
amit;11:20,0;0;11:20,0;0;0;1;11:20,0;11:20,0;6;2146;88,9067493;Yes;25,7778347;B;0;60;0;132335;Yes;32;1;94;335;132335;Nilphamari;Syedpur;Saidpur Pouroshova;Saidpur Sanitary House;1
jahurul;04:23,0;0;04:23,0;0;0;1;04:23,0;04:23,0;10;0;0;Yes;0;B;0;90;0;137081;No;37;1;110;81;137081;Tangail;Shakhipur;Kakrajan;Hafiz Sanitary;0
alauddin;13:09,0;0;13:09,0;0;0;1;13:09,0;13:09,0;7;3938;92,4198298;Yes;24,9494893;C;0;260;0;159448;Yes;59;2;3;448;159448;Sylhet;Zokijonj;Barohal;Khairul Sanitary;1
murad;46:13,0;0;46:13,0;0;0;1;46:13,0;46:13,0;8;20;92,25958178;Yes;25,00620615;D;0;180;-55;175439;No;75;2;2;439;175439;Sylhet;Kanighat;Borocutul;Ema Sanitary Mart;0
aman;58:47,0;0;58:47,0;0;0;1;58:47,0;58:47,0;0;2354;91,4337554;Yes;23,1136822;E;0;0;0;133121;0;33;1;98;121;133121;Feni;Fulgazi;G.M. Hat;Faruk Sanitation Centre;0
swapon;44:18,0;0;44:18,0;0;0;1;44:18,0;44:18,0;4;3777;89,7799089;Yes;23,2706344;B;0;30;0;140400;Yes;40;1;121;400;140400;Gopalgonj;Kashiani;Mohes Pur;Jobair Sanitation center;1
shahidul;35:00,0;0;35:00,0;0;0;1;35:00,0;35:00,0;0;20;90,68272561;Yes;24,31891242;E;0;0;-37;136365;No;36;1;108;365;136365;Kishoregonj;Pakundia;Patuabanga;Burhan Sanitary Center;0
shahidul;32:52,0;0;32:52,0;0;0;1;32:52,0;32:52,0;2;25;90,68267126;No;24,31885976;B;0;90;-75;136364;No;36;1;108;364;136364;Kishoregonj;Pakundia;Patuabanga;Nurul Islam Dalai Karkhana;0
shahidul;29:45,0;0;29:45,0;0;0;1;29:45,0;29:45,0;1;60;90,68328649;Yes;24,31881998;B;0;60;85;136363;Yes;36;1;108;363;136363;Kishoregonj;Pakundia;Patuabanga;Imran Habib Hardware&Sanitation Center;1
jahurul;03:16,0;0;03:16,0;0;0;1;03:16,0;03:16,0;14;0;0;Yes;0;A;0;95;0;137080;No;37;1;110;80;137080;Tangail;Shakhipur;Kakrajan;Billal Sanitary Centre;1
kamruzzaman;17:34,0;0;17:34,0;0;0;1;17:34,0;17:34,0;6;3335;89,5041409;Yes;22,7302544;B;0;120;0;120229;Yes;20;1;60;229;120229;Khulna;Batiaghata;Batiaghata;Sabuj Sanitary;1
alim;04:04,0;0;04:04,0;0;0;1;04:04,0;04:04,0;2;0;0;Yes;0;B;0;60;0;126267;Yes;26;1;74;267;126267;Bogra;Nandigram;Burail;Shahadat Sanitary;1
meherul;42:07,0;0;42:07,0;0;0;1;42:07,0;42:07,0;10;0;0;Yes;0;B;0;65;0;143311;Yes;43;1;131;311;143311;Joypurhat;Kalai;Zinderpur;Azad Sanitary;1
milon;34:18,0;0;34:18,0;0;0;1;34:18,0;34:18,0;5;2231;89,6542011;No;23,7383237;C;0;90;0;108022;No;8;1;24;22;108022;Rajbari;Rajbari Sadar;Dadshi;Wahab Sanitary Centre;0
motilal;39:07,0;0;39:07,0;0;0;1;39:07,0;39:07,0;2;60;90,62097789;Yes;23,37162088;E;0;60;-41;146167;Yes;46;1;138;167;146167;Chandpur;Matlab North;Ekhlaspur;Soltan Sanitary Center;1
harun;12:53,0;0;12:53,0;0;0;1;12:53,0;12:53,0;4;2835;90,7967249;Yes;24,2560929;D;0;240;0;194495;No;94;2;12;495;194495;Kishoregonj;Katiadi;Lohajuri;Lohajuri Bohumukhi sanitary center;0
swapon;28:02,0;0;28:02,0;0;0;1;28:02,0;28:02,0;6;3683;89,773337;Yes;23,2671071;B;0;45;0;140401;No;40;1;121;401;140401;Gopalgonj;Kashiani;Mohes Pur;Atiar Sanitation center;0
aman;58:48,0;0;58:48,0;0;0;1;58:48,0;58:48,0;0;2354;91,4337554;Yes;23,1136822;E;0;0;0;133122;0;33;1;98;122;133122;Feni;Fulgazi;G.M. Hat;Amir Sanitation Centre;0
amit;24:55,0;0;24:55,0;0;0;1;24:55,0;24:55,0;7;2121;88,9067597;Yes;25,777869;B;0;40;0;132342;No;32;1;94;342;132342;Nilphamari;Syedpur;Saidpur Pouroshova;M/S Yonus Ali Sanitary Centre;0
