Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Year of VWC establishment ,Year village social map was made,Total number of male members at start ,Total number of female members at start ,Total number of male members now ,Total number of female members now ,Is the area arsenic prone ,Total number of Ultra Poor HH ,Total number of poor HH,Total number of non poor HH ,Number of TW platform loan received from BRAC ,Number of DTW received from BRAC ,Number of PSF received from BRAC ,Number of other source  received from BRAC ,Please specify the other source,Number of TW platform loan received from other organisation ,Number of DTW received from other organisation ,Number of PSF received from other organisation ,Number of other source received from other organisation ,Text,VWC01sa: Drinking water source received from BRAC(source A),VWC01sb:Drinking water source received from BRAC(source B),VWC01sc:Drinking water source received from BRAC(source C),VWC02: Performance of VWC ,VWC03_men:Women's participation(men),VWC03_women:Women's participation(women),VWC03_agreed:Women's participation(agreed) 
25241706,24.54696,90.86596,2012,2012,5,6,5,6,no,35,106,12,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
25106967,22.581485,91.817181,2012,0,5,6,5,6,no,51,1,178,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,A,A,A
25136531,25.010858,92.259268,2012,2012,5,6,5,6,no,43,45,110,0,0,0,0,Na,0,0,0,0,Na,F,F,F,C,D,D,D
25137015,25.003277,92.258388,2012,2012,5,6,5,6,no,26,0,100,0,0,0,0, na,0,0,0,0,Na,F,F,F,C,D,D,D
25080714,22.581762,89.524617,2012,2012,5,6,5,6,no,45,82,21,0,0,0,0,na,0,0,0,0,na,F,F,F,B,A,A,A
14294042,24.711288,91.490649,2008,2008,5,6,5,6,no,49,78,84,0,0,0,0,na,0,0,0,0,na,F,F,F,B,C,C,C
25184741,25.947791,89.440714,2012,2012,5,6,5,6,no,56,65,82,0,0,0,0,o,0,0,0,0,o,F,F,F,C,C,C,C
14182626,23.600394,90.088746,2007,2007,5,6,5,6,no,16,102,130,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
14588587,24.891508,89.557819,2007,2007,5,6,5,6,no,37,61,220,4,0,0,0,0,0,0,0,0,0,A,B,E,C,A,A,A
14385456,23.79798,89.300469,2008,2008,5,6,5,6,no,33,112,119,1,0,0,0,O,0,0,0,0,O,A,F,F,B,A,A,A
25100562,22.906837,91.676535,2012,2012,6,5,6,5,no,49,86,36,0,0,0,0,O,0,0,0,0,N/A,F,F,F,B,A,A,A
25195127,23.358816,90.800623,2012,2012,5,6,5,6,no,29,12,163,0,0,0,0,o,0,0,0,0,o,F,F,F,C,C,C,C
25195172,23.335674,90.785834,2012,2012,5,6,5,6,yes,50,90,82,0,0,0,0,o,0,0,0,0,o,F,F,F,C,D,C,C
14354951,23.471133,89.231054,2008,2008,5,6,5,6,no,50,66,82,1,0,0,0,No,0,0,0,0,No,A,F,F,B,A,A,A
25091379,23.097896,90.72153,2012,2012,5,6,5,6,no,65,16,219,0,0,0,0,0,0,4,0,0,0,F,F,F,C,C,C,C
25207210,22.572668,89.393622,2012,2012,5,6,5,6,yes,22,119,106,0,0,0,0,NA,0,0,0,0,NA,F,F,F,B,A,A,A
25186097,25.919852,89.463432,2012,2012,5,6,5,6,no,120,47,65,0,0,0,0,0,0,0,0,0,0,F,F,F,C,C,C,C
14213031,22.95368,89.406051,2007,2007,5,6,5,6,no,25,91,93,0,1,0,0,N/A,0,3,0,0,N/A,A,F,F,A,A,A,A
14568385,22.618113,89.640733,2007,2007,5,6,5,6,no,28,221,6,0,0,0,0,Na,0,0,0,2,Rain water and harvesting system.,F,F,F,C,C,C,C
25051107,24.815221,91.750403,2013,2013,5,6,5,6,no,19,150,101,0,0,0,0,NA,0,0,0,0,NA,F,F,F,C,C,C,C
25073149,25.099056,91.726096,2012,2012,5,6,5,6,no,39,80,69,0,0,0,0,NA,0,0,0,0,NA,F,F,F,B,A,A,A
14497476,24.775576,90.356504,2007,2007,5,6,5,6,no,18,113,86,6,1,0,0,N/a,0,0,0,0,N/a,A,B,B,C,C,C,C
25257611,24.956026,92.419038,2012,2012,5,6,5,6,no,18,30,46,0,0,0,0,Na,0,0,0,0,Na,F,F,F,C,D,D,D
25083748,22.5499,89.482432,2012,2012,5,6,5,6,no,103,94,62,0,0,0,0,na,0,0,2,0,na,F,F,F,B,A,A,A
25150376,24.997758,89.132234,2012,2012,5,6,5,6,no,49,119,49,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,B,B
14669597,23.001277,91.144226,2007,2007,5,6,5,6,yes,82,54,179,1,0,0,0,NA,0,0,0,0,NA,D,F,F,B,C,C,C
